TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1229,7.6E+14,7.6E+14,0,0,0,7.6E+14,0,0,0,69,795,1237
2308,1.43E+14,1.43E+14,0,0,0,1.43E+14,0,0,0,115,720,1330
6679,4.14E+13,4.14E+13,0,0,0,4.14E+13,0,0,0,263,644,1583
5645,35,35,0,0,0,35,0,0,0,248,621,1538
3180,1.97E+14,1.97E+14,0,0,0,1.97E+14,0,0,0,185,738,1421
2767,1.72E+14,1.72E+14,0,0,0,1.72E+14,0,0,0,170,673,1392
3762,2.33E+14,2.33E+14,0,0,0,2.33E+14,0,0,0,173,719,1425
3098,1.92E+14,1.92E+14,0,0,0,1.92E+14,0,0,0,185,700,1413
5142,3.19E+14,3.19E+14,0,0,0,3.19E+14,0,0,0,230,654,1515
3279,2.03E+14,2.03E+14,0,0,0,2.03E+14,0,0,0,164,694,1405
1019,6.3E+14,6.3E+14,0,0,0,6.3E+14,0,0,0,64,223,600
0,0,0,0,0,0,0,0,0,0,0,1440,1324
0,0,0,0,0,0,0,0,0,0,0,1440,1324
0,0,0,0,0,0,0,0,0,0,0,1440,1324
0,0,0,0,0,0,0,0,0,0,0,1440,1324
4931,3.32E+13,3.32E+13,0,0,0,3.32E+13,0,0,0,175,1265,1708
6999,4.72E+14,4.72E+14,0,0,0,4.72E+14,0,0,0,320,1120,1950
1846,1.24E+14,1.24E+14,0,0,0,1.24E+14,0,0,0,93,1347,1508
3417,2.3E+14,2.3E+14,0,0,0,2.3E+14,0,0,0,153,1287,1625
4863,3.28E+14,3.28E+14,0,6E+14,4.2E+14,2.8E+14,0,1,11,208,1220,1772
2277,1.53E+14,1.53E+14,0,0,0,1.53E+14,0,0,0,103,1337,1530
11230,7.67E+14,7.67E+14,0,8.9E+14,1.2E+14,6.66E+14,0,10,2,390,1038,2206
2098,1.41E+13,1.41E+13,0,0,0,1.41E+13,0,0,0,69,617,790
10272,6.79E+14,6.79E+14,0,1.6E+14,3.12E+14,35,0,2,58,208,700,2041
10533,7.1E+14,7.1E+14,0,1.77E+14,2.06E+14,3.27E+14,0,21,35,255,615,2187
6760,4.47E+14,4.47E+14,0,0,0,4.47E+14,0,0,0,250,613,1929
8328,5.51E+14,5.51E+14,0,0,2,35,0,0,33,212,804,1935
15459,1.022E+14,1.022E+14,0,3.59E+14,8.1E+14,5.82E+14,0,51,16,327,583,2438
7485,4.95E+14,4.95E+14,0,0,0,4.95E+14,0,0,0,324,491,2035
10254,6.8E+14,6.8E+14,0,1.42E+14,1.23E+14,4.16E+14,0,21,25,231,638,2099
10114,6.82E+14,6.82E+14,0,1.64E+14,4.8E+14,4.68E+14,0,18,9,269,696,2096
11107,7.34E+14,7.34E+14,0,9E+14,2.76E+14,3.68E+13,0,14,46,196,759,2058
10320,6.85E+14,6.85E+14,0,6.8E+14,1.23E+14,4.94E+14,0,15,32,315,1002,2338
10209,675,675,0,1.6E+14,3.5E+14,6.23E+14,0,2,6,316,711,2104
16081,1.063E+14,1.063E+14,0,125,1.82E+14,7.56E+14,0,16,32,401,970,2488
10078,6.83E+14,6.83E+14,0,1.02E+14,1.2E+14,5.69E+14,0,12,3,303,463,2164
10001,6.61E+13,6.61E+13,0,3.3E+14,2.93E+13,3.36E+14,0,5,52,196,788,2009
0,0,0,0,0,0,0,0,0,0,0,425,399
890,6E+14,6E+14,0,0,0,6E+14,0,0,0,41,1399,1335
2214,1.49E+14,1.49E+14,0,0,0,1.49E+14,0,0,0,197,1243,1559
7640,5.13E+14,5.13E+14,0,1.9E+14,8E+14,4.15E+14,0,3,15,315,1107,1845
9713,6.53E+14,6.53E+14,0,3.4E+14,8.9E+14,5.29E+14,0,6,24,355,1055,2046
8432,5.67E+14,5.67E+14,0,0,0,5.65E+14,1E+15,0,0,374,1066,1953
7350,4.94E+14,4.94E+14,0,0,0,4.94E+14,0,0,0,382,1058,1910
9353,6.31E+14,6.31E+14,0,3.7E+14,6.9E+14,5.24E+14,0,5,17,363,1055,2035
7157,4.81E+14,4.81E+14,0,0,0,4.81E+14,0,0,0,380,1060,1944
14103,9.56E+13,9.56E+13,0,3.02E+14,4.1E+14,6.14E+13,1E+15,46,8,288,1098,2257
5290,3.55E+14,3.55E+14,0,4E+14,3.4E+14,3.17E+14,0,1,8,251,1180,1724
7497,5.04E+14,5.04E+14,0,0,0,5.04E+14,0,0,0,357,882,1741
0,0,0,0,0,0,0,0,0,0,0,1440,0
0,0,0,0,0,0,0,0,0,0,0,1440,1920
0,0,0,0,0,0,0,0,0,0,0,1440,1920
0,0,0,0,0,0,0,0,0,0,0,1440,1920
0,0,0,4.82803E+14,0,0,0,0,0,660,0,780,4562
4126,3.22E+14,0,3.21869E+14,0,0,3.22E+14,0,0,0,720,720,2881
0,0,0,0,0,0,0,0,0,0,0,1440,1920
0,0,0,0,0,0,0,0,0,0,0,1440,1920
2063,1.61E+14,0,1.60934E+14,0,0,1.61E+14,0,0,0,630,99,1144
5785,3.95E+14,3.95E+14,0,0,0,3.91E+14,4E+14,0,0,311,1129,1852
7625,5.23E+14,5.23E+14,0,1.68E+14,4E+14,35,1E+15,24,1,341,1074,2069
4706,3.21E+14,3.21E+14,0,0,0,3.21E+14,0,0,0,299,1141,1816
5861,4.02E+14,4.02E+14,0,1.3E+14,2.2E+14,2.49E+14,1E+15,20,7,233,1180,1878
4460,3.04E+14,3.04E+14,0,0,0,3.02E+14,3E+14,0,0,248,1192,1787
6406,4.39E+13,4.39E+13,0,7.8E+14,9E+14,3.52E+14,1E+15,17,4,325,1094,2010
7392,5.1E+14,5.1E+14,0,8.7E+14,1.6E+14,4.05E+14,2E+14,14,9,332,1085,2038
5551,3.79E+14,3.79E+14,0,0,0,3.77E+14,1E+15,0,0,282,1158,1815
8827,625,625,0,1.77E+14,4.8E+14,4,1E+15,21,10,346,1063,2062
4662,3.18E+13,3.18E+13,0,1.04E+14,1.5E+14,1.99E+14,0,22,4,152,735,1276
4499,3.01E+14,3.01E+14,0,0,0,3.01E+14,0,0,0,168,842,1288
7618,5.1E+14,5.1E+14,0,0,1.8E+14,4.91E+14,0,0,6,302,842,1490
11508,7.7E+14,7.7E+14,0,2.17E+14,8.4E+14,4.69E+14,0,29,22,282,748,1630
11943,7.99E+14,7.99E+14,0,1.03E+14,2.01E+14,4.95E+14,0,16,43,297,710,1648
12303,8.23E+14,8.23E+14,0,1.71E+14,1.35E+14,5.17E+14,0,26,32,291,605,1649
15425,1.032E+14,1.032E+14,0,1.62E+14,1.82E+14,6.87E+14,0,24,45,331,614,1783
8422,5.63E+14,5.63E+14,0,0,3.6E+14,2.04E+14,0,0,81,139,815,1431
10226,6.84E+14,6.84E+14,0,0,4.44E+14,2.4E+14,0,0,101,174,685,1524
14583,9.76E+14,9.76E+14,0,2.48E+14,1.74E+14,5.53E+14,0,35,36,254,697,1697
3573,2.39E+14,2.39E+14,0,9.4E+14,4.1E+14,9.7E+14,0,15,8,99,866,1232
3108,2.14E+14,2.14E+14,0,7E+14,4E+14,1.96E+14,0,1,1,129,894,1223
759,5.7E+14,5.7E+14,0,0,0,5.7E+14,0,0,0,17,187,182
5543,3.97E+14,3.97E+14,0,0,0,3.96E+14,1E+15,0,0,254,757,2990
3226,2.31E+14,2.31E+14,0,0,0,2.28E+14,0,0,0,136,771,2480
3023,2.17E+14,2.17E+14,0,0,0,2.14E+14,0,0,0,145,1005,2570
5906,4.23E+14,4.23E+14,0,0,1.6E+14,4.04E+14,0,0,10,215,874,3016
12483,8.99E+14,8.99E+14,0,1.45E+14,5.7E+14,6.9E+14,0,25,14,309,599,3830
8940,6.41E+14,6.41E+14,0,0,0,6.1E+14,4E+14,0,0,47,986,3706
368,2.6E+14,2.6E+14,0,0,0,0,0,0,0,0,1440,2024
5702,4.09E+14,4.09E+14,0,0,0,0,0,0,0,0,1440,2980
10330,7.41E+14,7.41E+14,0,0,0,0,0,0,0,0,1440,3728
8778,6.29E+14,6.29E+14,0,0,0,0,0,0,0,0,1440,3348
6662,4.78E+14,4.78E+14,0,0,0,0,0,0,0,0,1440,3162
6309,4.52E+14,4.52E+14,0,0,0,0,0,0,0,0,1440,3140
1951,1.41E+13,1.41E+13,0,0,0,0,0,0,0,0,1440,1980
5563,3.99E+14,3.99E+14,0,0,0,0,0,0,0,0,1440,3681
4370,3.13E+14,3.13E+14,0,0,0,0,0,0,0,0,1440,3444
7144,5.12E+14,5.12E+14,0,0,0,0,0,0,0,0,1440,3510
2106,1.51E+14,1.51E+14,0,2E+14,5E+14,2.1E+14,0,31,45,75,1289,4010
4152,2.98E+14,2.98E+14,0,0,0,2.96E+14,0,0,0,187,1253,2976
5400,3.87E+14,3.87E+14,0,0,0,3.85E+14,0,0,0,258,795,3418
7428,5.33E+14,5.33E+14,0,8.7E+14,9.2E+14,3.51E+14,0,18,33,261,860,3439
5351,3.84E+14,3.84E+14,0,6.2E+14,1.8E+14,3.01E+14,0,15,17,210,748,3338
4299,3.1E+14,3.1E+14,0,9E+14,2.1E+14,2.74E+14,4E+14,3,15,162,752,2892
6107,4.38E+14,4.38E+14,0,0,0,4.36E+13,0,0,0,265,776,3313
6429,4.6E+14,4.6E+14,0,0,9.5E+14,3.65E+14,0,0,28,193,741,3118
6880,4.93E+14,4.93E+14,0,5,7.6E+14,3.65E+14,0,7,19,165,1249,2966
7476,5.36E+13,5.36E+13,0,0,0,5.31E+14,0,0,0,263,920,3253
6581,4.72E+14,4.72E+14,0,0,2.9E+13,4.39E+13,0,0,8,241,1191,3032
10480,7.51E+14,7.51E+14,0,4.1E+14,1.47E+14,5.01E+14,4E+14,6,37,272,1125,4034
7734,5.55E+14,5.55E+14,0,1.16E+13,4.9E+14,3.82E+13,6E+14,20,12,223,1185,3264
5129,3.68E+13,3.68E+13,0,1.8E+14,2.4E+14,3.21E+14,1E+15,5,7,176,1178,2817
2993,2.15E+14,2.15E+14,0,0,0,2.09E+14,0,0,0,114,888,2507
8,1E+15,1E+15,0,0,0,1E+15,0,0,0,1,321,446
0,0,0,0,0,0,0,0,0,0,0,1440,1777
0,0,0,0,0,0,0,0,0,0,0,1440,1777
8433,6.23E+14,6.23E+14,0,2.45E+14,3.3E+14,3.44E+14,0,30,7,135,1268,2453
0,0,0,0,0,0,0,0,0,0,0,1440,1776
2139,1.56E+14,1.56E+14,0,0,1.3E+14,2.6E+14,0,0,28,15,1397,1935
0,0,0,0,0,0,0,0,0,0,0,1440,1776
949,6.9E+14,6.9E+14,0,0,0,6.9E+14,0,0,0,34,1406,1870
0,0,0,0,0,0,0,0,0,0,0,1440,1777
44,3E+14,3E+14,0,0,0,3E+14,0,0,0,2,1438,1782
2660,1.94E+14,1.94E+14,0,0,0,1.94E+14,0,0,0,46,1394,1978
5561,4.19E+14,4.19E+14,0,0,0,4.07E+14,0,0,0,169,1271,2296
7239,5.34E+14,5.34E+14,0,5.5E+14,3.6E+14,4.38E+14,0,7,7,190,1236,2484
7,1E+15,1E+15,0,0,0,1E+15,0,0,0,1,1439,1787
0,0,0,0,0,0,0,0,0,0,0,1440,1776
0,0,0,0,0,0,0,0,0,0,0,1440,1776
2275,1.68E+14,1.68E+14,0,0,0,1.66E+13,0,0,0,86,1354,2005
8,1E+15,1E+15,0,0,0,1E+15,0,0,0,1,1439,1778
5137,3.76E+14,3.76E+14,0,0,0,3.76E+14,0,0,0,160,1280,2293
5419,4,4.57E+14,5.5843E+13,0,0,3.91E+14,6E+14,0,0,145,1295,2259
0,0,0,0,0,0,0,0,0,0,0,1440,1776
0,0,0,0,0,0,0,0,0,0,0,1440,1776
0,0,0,0,0,0,0,0,0,0,0,1440,1776
0,0,0,0,0,0,0,0,0,0,0,1440,1776
0,0,0,0,0,0,0,0,0,0,0,1440,1776
0,0,0,0,0,0,0,0,0,0,0,1440,1776
18,1E+15,1E+15,0,0,0,1E+15,0,0,0,2,1438,1780
4,0,0,0,0,0,0,0,0,0,1,1439,1778
8426,6.16E+14,6.16E+14,0,1.3E+14,5.49E+14,5.4E+14,0,2,120,25,1293,2360
1650,1.21E+14,1.21E+14,0,0,0,1.21E+14,0,0,0,60,1380,1952
3434,2.51E+14,2.51E+14,0,7E+14,3E+14,2.14E+14,0,1,7,108,1324,2101
6801,4.98E+14,4.98E+14,0,0,0,4.97E+14,0,0,0,193,1247,2393
187,1.4E+14,1.4E+14,0,0,0,1.4E+14,0,0,0,11,400,538
5643,3.79E+14,3.79E+14,0,2.3E+14,3.3E+14,3.23E+14,0,3,8,199,683,1958
9043,6.07E+14,6.07E+14,0,25,4.3E+14,5.37E+14,0,4,12,244,702,2141
8144,5.46E+14,5.46E+14,0,25,6.1E+14,4.61E+13,0,4,17,247,1125,2129
9343,6.27E+14,6.27E+14,0,9.6E+14,8.5E+14,4.46E+14,0,14,20,268,654,2216
8405,5.66E+14,5.66E+14,0,1.13E+14,1.9E+14,4.34E+14,0,15,4,257,621,2154
8223,5.52E+14,5.52E+14,0,8E+14,1.51E+14,3.21E+14,0,12,37,257,551,2178
10067,6.76E+14,6.76E+14,0,3.6E+14,1.42E+14,4.97E+14,0,5,39,313,578,2308
8359,5.63E+14,5.63E+14,0,2.3E+14,5.3E+14,4.87E+14,0,3,14,311,638,2201
10946,7.35E+14,7.35E+14,0,5.4E+14,2.09E+14,4.72E+14,0,8,51,308,569,2341
9130,6.15E+14,6.15E+14,0,5,3.8E+14,5.27E+14,0,7,11,304,668,2236
6544,4.41E+14,4.41E+14,0,2.9E+13,2.6E+14,3.86E+14,0,4,6,276,1132,2069
0,0,0,0,0,0,0,0,0,0,0,1440,0
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,994,1296
2303,1.55E+14,1.55E+14,0,0,0,1.55E+14,0,0,0,155,807,2010
2600,1.74E+14,1.74E+14,0,0,0,1.74E+14,0,0,0,163,1277,2032
4804,3.22E+14,3.22E+14,0,0,0,3.22E+14,0,0,0,238,786,2227
3271,2.19E+14,2.19E+14,0,0,0,2.19E+14,0,0,0,205,898,2133
5406,3.63E+14,3.63E+14,0,0,0,3.61E+14,0,0,0,273,672,2317
3146,2.11E+14,2.11E+14,0,0,0,2.11E+14,0,0,0,171,1269,2058
2422,1.63E+14,1.63E+14,0,0,0,1.63E+14,0,0,0,110,1330,1935
4239,2.84E+14,2.84E+14,0,6E+14,2.4E+14,2.53E+14,0,1,6,235,702,2217
6911,4.78E+14,4.78E+14,0,2.32E+13,1E+14,2.36E+14,0,28,2,215,745,2374
6667,4.61E+13,4.61E+13,0,2.02E+14,5E+14,2.55E+14,0,24,1,208,939,2335
5543,3.72E+14,3.72E+14,0,0,0,3.72E+14,0,0,0,266,941,2303
4195,2.81E+14,2.81E+14,0,0,0,2.81E+14,0,0,0,239,758,2210
6625,4.45E+14,4.45E+14,0,0,0,4.45E+14,0,0,0,316,755,2424
5986,4.13E+14,4.13E+14,0,1.95E+14,2.3E+14,1.95E+14,0,23,5,195,789,2297
278,1.9E+14,1.9E+14,0,0,0,1.9E+14,0,0,0,20,253,745
5336,3.53E+14,3.53E+14,0,0,0,3.53E+14,0,0,0,258,1182,1902
3183,2.1E+14,2.1E+14,0,0,0,2.1E+14,0,0,0,173,1180,1680
6176,4.08E+14,4.08E+14,0,7E+14,2.6E+14,375,0,1,7,269,886,1901
8205,5.42E+14,5.42E+14,0,0,0,5.42E+14,0,0,0,367,1073,2078
6799,4.49E+14,4.49E+14,0,1.59E+13,8.6E+14,2.04E+14,0,24,14,185,1217,1876
5668,375,375,0,0,0,375,0,0,0,259,1181,1853
7998,5.29E+14,5.29E+14,0,5.1E+14,25,4.53E+14,0,27,12,296,1105,2235
4195,2.77E+14,2.77E+14,0,0,0,2.77E+14,0,0,0,241,1199,1778
5512,3.64E+14,3.64E+14,0,0,0,3.64E+14,0,0,0,276,1164,1882
6263,4.14E+13,4.14E+13,0,0,0,4.13E+14,0,0,0,290,1150,1906
8828,5.84E+14,5.84E+14,0,0,0,5.84E+14,0,0,0,308,1132,2149
1260,8.3E+14,8.3E+14,0,0,0,8.2E+14,0,0,0,76,555,722
6506,5.28E+14,5.28E+14,0,3.3E+14,2.7E+14,4.67E+14,0,4,5,241,760,2886
7583,6.15E+14,6.15E+14,0,25,5.5E+14,5.35E+14,0,3,13,227,742,2915
6963,5.65E+14,5.65E+14,0,0,0,5.65E+14,0,0,0,256,759,2895
7165,5.81E+14,5.81E+14,0,0,3.7E+14,5.44E+14,0,0,9,248,708,2923
10328,8.38E+14,8.38E+14,0,0,1.46E+14,6.92E+14,0,0,32,367,475,3323
12116,9.83E+14,9.83E+14,0,25,2.85E+14,6.72E+14,0,3,57,323,471,3357
7810,6.36E+13,6.36E+13,0,4.8E+14,1.2E+14,4.68E+14,0,6,27,216,746,2931
6670,5.41E+14,5.41E+14,0,1.24E+14,8E+14,3.37E+14,0,15,16,199,770,2848
7605,6.18E+14,6.18E+14,0,3.3E+14,2.1E+14,5.63E+14,0,4,4,248,708,2943
6585,5.34E+14,5.34E+14,0,0,0,5.34E+14,0,0,0,210,770,2822
8184,6.64E+13,6.64E+13,0,0,6.2E+14,5.95E+14,0,0,15,247,808,2981
14002,1.136E+14,1.136E+14,0,6.1E+14,2.68E+13,8.06E+13,0,8,56,381,407,3597
11135,9.03E+14,9.03E+14,0,8E+14,1.16E+13,7.79E+14,0,1,25,331,528,3224
6499,5.27E+14,5.27E+14,0,0,0,5.27E+14,0,0,0,207,809,2677
0,0,0,0,0,0,0,0,0,0,0,1440,0
12409,8.1E+14,8.1E+14,0,2.9E+14,6.3E+14,4.58E+14,0,51,12,235,782,2142
2937,1.92E+14,1.92E+14,0,0,0,1.91E+13,0,0,0,181,356,1615
1515,9.9E+14,9.9E+14,0,0,0,9.9E+14,0,0,0,93,507,1481
8921,5.88E+14,5.88E+14,0,2.07E+13,4.4E+14,3.36E+14,0,27,8,198,754,1892
11306,7.38E+14,7.38E+14,0,2.31E+14,9.8E+14,4.09E+14,0,40,26,218,772,2086
12252,8,8,0,2.41E+14,1.7E+14,3.89E+14,0,33,28,229,745,2044
15444,1.008E+14,1.008E+14,0,3.27E+14,1.73E+14,5.08E+14,0,51,39,243,731,2249
9938,6.49E+14,6.49E+14,0,2.14E+14,1.28E+14,3.08E+14,0,38,24,193,767,2019
4599,3,3,0,0,0,3,0,0,0,176,578,1692
5594,3.65E+14,3.65E+14,0,2.8E+14,1.48E+14,1.89E+14,0,4,25,150,552,1712
11906,7.77E+14,7.77E+14,0,2.26E+14,1.52E+14,3.99E+14,0,32,27,234,688,2065
3436,2.24E+14,2.24E+14,0,5,6.7E+14,1.05E+14,0,7,11,50,61,633
10461,7.87E+14,7.87E+14,0,4.76E+14,8.5E+14,225,0,99,31,142,721,3625
14873,1.111E+14,1.111E+14,0,8.19E+13,6E+14,2.31E+14,0,202,36,153,663,4430
9917,7.41E+14,7.41E+14,0,1.99E+14,9.7E+14,4.44E+14,0,58,27,240,700,3427
7401,5.56E+14,5.56E+14,0,2.32E+13,3.6E+14,2.88E+14,0,70,19,204,689,3492
